city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
122438,Hashtgerd,IR,35.96,50.69,11/05/20,            62.6,25,0,11.41
2294665,Teshie,GH,5.58,-0.11,11/05/20,            82.4,83,40,8.05
2194098,Ahipara,NZ,-35.17,173.17,11/05/20,            63.72,94,90,5.68
3483197,San Fernando,MX,24.85,-98.15,11/05/20,            82.11,42,0,4.59
5712169,Baker City,US,44.77,-117.83,11/05/20,            57.2,27,1,11.41
3899695,Ancud,CL,-41.87,-73.82,11/05/20,            50.27,62,75,11.41
1106643,Quatre Cocos,MU,-20.21,57.76,11/05/20,            72.66,73,40,6.93
2026160,Borogontsy,RU,62.67,131.17,11/05/20,            -0.81,93,100,1.3
690820,Uglovoye,UA,44.82,33.6,11/05/20,            54.34,71,91,15.59
942511,Vryburg,ZA,-26.96,24.73,11/05/20,            73.62,29,0,12.46
2156643,Mount Gambier,AU,-37.83,140.77,11/05/20,            48.2,87,90,6.93
3393692,Itarema,BR,-2.92,-39.92,11/05/20,            84,64,2,17.94
5882953,Aklavik,CA,68.22,-135.01,11/05/20,            -5.8,76,20,6.93
1264976,Leh,IN,34.17,77.58,11/05/20,            29.07,73,100,3.49
2212775,Sabha,LY,27.04,14.43,11/05/20,            67.73,33,0,5.77
1633419,Padang,ID,-0.95,100.35,11/05/20,            78.22,77,100,3.49
1629974,Rantepao,ID,-2.97,119.9,11/05/20,            68,88,100,1.86
1233369,Negombo,LK,7.21,79.84,11/05/20,            77,94,20,4.7
2660600,Gland,CH,46.42,6.27,11/05/20,            46.96,82,80,5.01
2180815,Tuatapere,NZ,-46.13,167.68,11/05/20,            46,96,3,1.01
3899539,Antofagasta,CL,-23.65,-70.4,11/05/20,            65.88,67,20,14.99
5919850,Chapais,CA,49.78,-74.85,11/05/20,            46.4,81,20,12.75
58933,Garoowe,SO,8.41,48.48,11/05/20,            74.19,56,2,16.28
3606292,Trojes,HN,14.08,-86,11/05/20,            75.87,89,67,2.8
2448245,Abalak,NE,15.45,6.28,11/05/20,            86.18,18,0,8.39
1623446,Tomohon,ID,1.33,124.84,11/05/20,            75.2,88,20,2.24
3372964,Lagoa,PT,39.05,-27.98,11/05/20,            60.94,66,9,20.31
1801640,Luzhou,CN,28.87,105.44,11/05/20,            59.67,78,100,1.25
2157698,Mildura,AU,-34.2,142.15,11/05/20,            46.71,66,70,5.82
1298482,Sagaing,MM,21.88,95.98,11/05/20,            73.4,83,0,3.36
1684245,Tagusao,PH,9.19,117.81,11/05/20,            78.76,74,98,2.77
921786,Mitsamiouli,KM,-11.38,43.28,11/05/20,            78.35,73,0,9.57
5554428,Ketchikan,US,55.34,-131.65,11/05/20,            40.62,100,90,16.11
3397763,Jacareacanga,BR,-6.22,-57.75,11/05/20,            93.2,52,20,3.36
3063590,Úpice,CZ,50.51,16.02,11/05/20,            36.3,89,0,1.99
4033543,Teahupoo,PF,-17.83,-149.27,11/05/20,            73.4,88,75,20.8
3985912,San Juan de Abajo,MX,20.82,-105.18,11/05/20,            86,51,5,4.7
2399001,Mayumba,GA,-3.43,10.66,11/05/20,            78.06,85,100,2.21
1160939,Iranshahr,IR,27.2,60.68,11/05/20,            69.8,11,0,4.7
3394023,Natal,BR,-5.79,-35.21,11/05/20,            85.06,70,40,14.99
2961459,Skibbereen,IE,51.55,-9.27,11/05/20,            44.6,81,75,3.36
4449620,Vicksburg,US,32.35,-90.88,11/05/20,            73.4,40,1,4.7
2362150,Boromo,BF,11.75,-2.93,11/05/20,            87.82,30,78,4.59
2021017,Kysyl-Syr,RU,63.9,122.76,11/05/20,            0.7,92,100,4.25
2120261,Uglegorsk,RU,49.08,142.03,11/05/20,            35.15,79,35,21.36
1259385,Port Blair,IN,11.67,92.75,11/05/20,            81.21,78,0,6.91
2654970,Brae,GB,60.4,-1.35,11/05/20,            51.8,93,75,33.33
2174444,Bowen,AU,-20.02,148.23,11/05/20,            68,88,2,5.82
5282297,Bethel,US,41.37,-73.41,11/05/20,            66.07,39,1,12.75
1510697,Baykalovo,RU,57.4,63.77,11/05/20,            33.98,92,81,8.77
2522890,Tortolì,IT,39.93,9.66,11/05/20,            62.33,88,75,9.17
5952370,Fernie,CA,49.5,-115.07,11/05/20,            48.6,87,90,3.36
4026082,Lázaro Cárdenas,MX,17.96,-102.2,11/05/20,            86.59,53,14,6.58
3459138,Lagoa Santa,BR,-19.63,-43.89,11/05/20,            82.4,42,75,5.82
2618795,Klaksvík,FO,62.23,-6.59,11/05/20,            48.2,100,100,19.46
